text,source,part,Happiness_M,Sadness_M,Anger_M,Disgust_M,Fear_M,Pride_M,Valence_M,Arousal_M,Irony_M,norm_Happiness_M,norm_Sadness_M,norm_Anger_M,norm_Disgust_M,norm_Fear_M,norm_Pride_M,norm_Valence_M,norm_Arousal_M,z_score_Happiness_M,z_score_Sadness_M,z_score_Anger_M,z_score_Disgust_M,z_score_Fear_M,z_score_Pride_M,z_score_Valence_M,z_score_Arousal_M,total_z_score
"Jeśli ktoś chce zrozumieć źródła intelektualne polityki Stolicy Apostolskiej wobec Rosji i Ukrainy powinien przeczytać wywiad we włoskiej wersji VaticanNews.va z francuskim jezuitą o. Gaël Giraud, ekonomistą, szefem Environmental Justice Program na Georgetown University.",,40,1.0,1.0,1.0,1.0,1.2,1.2,3.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0499999999999999,0.0499999999999999,0.5,0.15,0.7028090943480242,0.9023972241428534,0.9183631631352648,0.7467505922894634,0.4075242569935894,0.5813143579154293,0.3610511399614108,1.0662046712867284,5.686414500072764
" Wiedzę przedstawiają specjalistki i specjaliści, rodzice zadają im pytania.",,71,1.8,1.0,1.0,1.0,1.0,1.8,3.6,2.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.65,0.25,0.1573950801968407,0.9023972241428534,0.9183631631352648,0.7467505922894634,0.7521940272312464,0.1089651575616884,1.0141603984312215,0.5322478338030223,5.132473476791601
użytkownicy 100% że nie powiedział.,twitter,2,1.0,1.8,2.2,2.2,1.6,1.4,2.2,2.2,1.0,0.0,0.2,0.3,0.3,0.15,0.0999999999999999,0.3,0.3,0.7028090943480242,0.2434476187436453,0.2360955424422346,0.700057576764872,0.281815283481725,0.3512211860897234,0.5097612046650035,0.2652694150611691,3.290476921596397
"Lewiatan: Jeśli firmy nie dostaną wsparcia, bezrobocie wzrośnie nawet do 10 proc.",twitter,47,1.0,2.6,1.6,1.0,3.2,1.0,2.0,2.6,0.0,0.0,0.4,0.15,0.0,0.55,0.0,0.25,0.4,0.7028090943480242,1.389292461630144,0.3411338103465151,0.7467505922894634,3.039173445382982,0.8114075297411351,0.7274642908216074,0.2686874224225369,8.026718646982408
Ropa z Rosji płynie do krajów Zachodu. Oligarcha pomaga omijać sankcje odnośnik ,twitter,76,1.0,1.0,1.6,1.6,1.2,1.0,2.4,1.6,0.0,0.0,0.0,0.15,0.15,0.0499999999999999,0.0,0.35,0.15,0.7028090943480242,0.9023972241428534,0.3411338103465151,0.0233465077622956,0.4075242569935894,0.8114075297411351,0.2920581185084002,1.0662046712867284,4.5468812131295415
"Ciekawe dlaczego pokazują obraz płodu z hasłem 'pigułka aborcyjna zabija.' O ile dobrze kojarzę, pigułka 'po' właśnie uniemożliwia powstanie płodu. Ale, może, cytując premiera Morawieckiego, 'ludzie są tak głupi, że to działa?' odnośnik ",twitter,62,1.0,1.4,4.0,3.4,1.6,1.2,1.4,3.8,2.0,0.0,0.0999999999999999,0.75,0.6,0.15,0.0499999999999999,0.0999999999999999,0.7,0.7028090943480242,0.3294748026996042,1.9677836008084837,2.146865745819207,0.281815283481725,0.5813143579154293,1.3805735492914184,1.8705579348736547,9.261194369237549
"""Po ciężkim okresie liberalnych reform zaczął się wzrost, którego by bez nich nie było. Ale zamiast takiego przekazu Putin postawił na to, by lata 90 zmieszać z błotem"" GW, 30.04. Putinowską strategię PiS zastosował w Polsce. A my osiągnęliśmy dużo większy sukces niż Rosja!",twitter,27,1.8,1.4,2.8,1.8,1.2,1.4,3.0,3.0,2.0,0.2,0.0999999999999999,0.4499999999999999,0.2,0.0499999999999999,0.0999999999999999,0.5,0.5,0.1573950801968407,0.3294748026996042,0.813324895230984,0.2177881870800934,0.4075242569935894,0.3512211860897234,0.3610511399614108,0.8026442599062428,3.4404238081584886
FAKTY.INTERIA.PL Amerykański politolog alarmuje: Śmiertelne zagrożenie,,0,1.0,1.8,1.6,1.0,3.2,1.0,2.0,2.8,0.0,0.0,0.2,0.15,0.0,0.55,0.0,0.25,0.4499999999999999,0.7028090943480242,0.2434476187436453,0.3411338103465151,0.7467505922894634,3.039173445382982,0.8114075297411351,0.7274642908216074,0.5356658411643895,7.147852222837762
"użytkownicy Nie, to miało miejsce, ale taki akcjami proces się odwróci",twitter,11,1.2,1.4,2.0,1.2,1.4,1.0,2.8,1.0,0.0,0.0499999999999999,0.0999999999999999,0.25,0.0499999999999999,0.0999999999999999,0.0,0.4499999999999999,0.0,0.487758050711808,0.3294748026996042,0.0436857581793179,0.5056158974470742,0.0628544867559323,0.8114075297411351,0.1433480538048069,1.8671399275122875,4.251284506851967
użytkownicy ten prognozujący wiosnę ?,twitter,38,2.2,1.0,1.2,1.0,1.2,1.6,3.2,1.4,1.0,0.3,0.0,0.0499999999999999,0.0,0.0499999999999999,0.15,0.55,0.0999999999999999,0.5874971674692734,0.9023972241428534,0.7259533788723483,0.7467505922894634,0.4075242569935894,0.1211280142640174,0.5787542261180146,1.3331830900285817,5.4031879501781415
