valence,arousal,text,norm_Valence_M,norm_Arousal_M
0.6046239814975045,0.39253059977834875,Miliarder-wyrocznia kończy 90 lat. Oto najciekawsze fakty o życiu i fortunie Warrena Buffetta odnośnik ,0.7,0.0499999999999999
0.5861052721738815,0.37530986915032066,Z powodu afery z ciągnikiem wiceminister zamiast w podróż poślubna zagranicę przyjechał do Warszawy gasić pożar który wywołał. Doradza mu zaufany człowiek Jacka Kurskiego więc bądźcie gotowi na kolejne popisy TVP w tej sprawie. Polecamy się z użytkownicy odnośnik ,0.2,0.3
0.5486794530879706,0.4429845632985234,"BTW jestem nie wierzący, ale chciałbym wierzyć, że jest sprawiedliwość na tym świecie i tego skur....a (przepraszam za słowo) - Prezydenta Rosji spotka zasłużona kara (śmierci).",0.0,0.8500000000000001
0.6970852315425873,0.34856007993221283, Dziękujemy za Waszą cierpliwość.,0.8500000000000001,0.4499999999999999
0.4309395211083548,0.47195939293929506,"użytkownicy Hej, zbrodniarze, będziecie płacić za swoje zbrodnie: odnośnik ",0.0499999999999999,0.75
0.5849502390181577,0.3847810896458449,"Silne państwo potrafi skutecznie chronić swoje granice i jednocześnie pomagać potrzebującym. Gdy władza jest słaba, uderza w najsłabszych - kobiety i dzieci. W dodatku robi to w ciszy, za zasłoną stanu wyjątkowego, by ukryć swoją nieudolność w dbaniu o bezpieczeństwo Polaków.",0.0499999999999999,0.5
0.6402539312839508,0.2929098655780156,"Zachowajcie odrobinę zdrowego rozsądku, opamiętajcie się!",0.0499999999999999,0.6
0.5697979886423458,0.4031656655398282,Dzięki przezornym działaniom rządu Prawo i Sprawiedliwość Polska jest zabezpieczona przed gazowym szantażem Rosji.,0.8,0.25
0.5844870592866626,0.3553712261574609,"Znajomość historii nauki daje dystans do wiary w teorie, które oferują ""przewidywania"" za państwowe pieniądze. W zasadzie z góry można stwierdzić, że taki układ to naukowa korupcja a nie nauka. Jeśli nie jest Pan ""zatwardziałym kretynem"" to proszę to spróbować zrozumieć. odnośnik ",0.15,0.65
0.5751711014244292,0.3829168715962657,"To zdjęcie z wczorajszej narady polityków użytkownicy .  Widzicie #PrawdziwaPrezydent ?  PO strzela swojej kandydatce samobója pokazując, że jej wyborcze hasło jest fikcją, a kandydatka nie jest liderem obozu, a prawdziwy lider to użytkownicy Siła obrazu... odnośnik ",0.0999999999999999,0.5
0.5548002943396568,0.34786042012274265,"użytkownicy Dlatego panie ministrze, kompletnie mnie nie grzeje historia pt. ""Ziobro wylatuje z rządu"", bo tak doskonale pamiętam, tak jak i pan kto kiedy do rządu wrócił ina jak długo.",0.2,0.4499999999999999
0.6216011444727579,0.3150112231572469,Albicla już ujrzała światło dzienne. Teraz czekamy na polski samochód elektryczny.,0.65,0.3
0.5484458529032193,0.32427862458504164,"użytkownicy Zadałem proste pytanie o Kraśkę, a Ty mnie próbujesz obrazić? Dlaczego TVN milczał Kraśce, a teraz zamiast nagranie ze Sterczewskim pokazać od razu, czekał kilka godzin. Na co? O Lisie Onet też milczał, gdy były pytania. Dlaczego? A to wideo daliście? odnośnik ",0.0499999999999999,0.75
0.5484436686549868,0.3419577500649861,"Z uwagi na to, iż dotyczy to konstytucyjnego organu oraz zastępcy Zbigniewa Ziobry w latach 2015-2019, należy zwracać na nie uwagę.",0.4,0.3
0.5417145155370235,0.3183131217956543,"Pewnie wezmą jeszcze zaległą kasę z Unii, a potem wyjdą bez słowa.",0.0999999999999999,0.4499999999999999
0.6176154884425077,0.37038851055231964,"Mamy ze sobą ulotki kandydackie, z których możecie dowiedzieć się więcej o postulatach naszych kandydatów.",0.6,0.0999999999999999
0.6462040990591049,0.33312586694955826,użytkownicy No. Takie konstruktywne myślenie jest O.K,0.65,0.3
0.5523904693814424,0.34346895951491135,"Szumowski 31 01: ""Nie wydaje się, że tak zakaźny jak grypa, przynajmniej na dzień dzisiejszy. Wydaje się, że jest mniej zakaźny. Nie mamy potwierdzonego w Europie przechodzenia z człowieka na człowieka. Może się to zaraz zmieni""",0.35,0.35
0.6635632634162902,0.3270684540271759,"Wiemy jak budować Polskę, której naczelną zasadą będzie troska o dobro jej wszystkich obywateli.",0.8,0.4
0.541083329490253,0.33021352589130404,"Bum! Wpłynęła odp. GIOŚ ws. zalewania Polski śmieciami. W 2019 to aż 405 tys. ton śmieci W 4 lata -&gt; 1,5 miliona ton śmieci z zagranicy. 2017-2019 2krotny wzrost procentowego udziału śmieci z Niemiec #PrzejścioweCeny #PrzejściowyimportŚmieci #Realia #Interwencje odnośnik ",0.15,0.6
0.5611879148266532,0.3613245582038706,"Schetyna: ""Są dwie osoby"". Kidawa-Błońska i tajemniczy drugi kandydat w prawyborach PO | odnośnik ",0.55,0.2
0.6165302097797394,0.2891642476121585,użytkownicy nasz prom miał być lepszy? odnośnik ,0.4,0.25
0.5962623028705517,0.3557290254781644,"#muremZaIgorem W czasach epidemii, tak jak też nam radzi sędzia Tuleya, musimy dbać wszyscy o swoje zdrowie i spotykać się z sobą w najbardziej bezpieczny sposób #TrzymajmySięRazem #RobimyJaśniej #Wolnesądy Sędzia Igor Tuleya z obywatelami podczas #Marsz1000Tóg",0.4,0.5
